Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en España	2025M07	949.021
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en España	2025M06	641.944
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en España	2025M05	491.618
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en España	2025M04	388.410
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en España	2025M03	193.600
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en España	2025M02	164.966
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en España	2025M01	132.442
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	336.211
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	390.466
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	392.844
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	297.601
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	180.863
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	127.062
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	93.119
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total		2025M07	80.770
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total		2025M06	97.055
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total		2025M05	118.799
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total		2025M04	121.701
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total		2025M03	98.204
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total		2025M02	81.664
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total		2025M01	76.019
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en España	2025M07	48.246
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en España	2025M06	55.263
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en España	2025M05	62.399
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en España	2025M04	59.171
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en España	2025M03	57.394
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en España	2025M02	54.584
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en España	2025M01	50.749
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en el Extranjero	2025M07	32.524
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en el Extranjero	2025M06	41.791
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en el Extranjero	2025M05	56.400
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en el Extranjero	2025M04	62.531
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en el Extranjero	2025M03	40.810
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en el Extranjero	2025M02	27.080
Total Nacional	01 Andalucía	14 Córdoba	Viajero	Total	Residentes en el Extranjero	2025M01	25.270
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total		2025M07	133.177
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total		2025M06	161.811
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total		2025M05	212.766
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total		2025M04	205.700
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total		2025M03	173.303
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total		2025M02	137.782
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total		2025M01	133.108
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en España	2025M07	79.200
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en España	2025M06	93.208
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en España	2025M05	119.481
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en España	2025M04	107.355
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en España	2025M03	104.793
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en España	2025M02	91.963
Total Nacional	01 Andalucía	14 Córdoba	Pernoctaciones	Total	Residentes en España	2025M01	90.527
