Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total		2025M07	1.179.239
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total		2025M06	1.202.428
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total		2025M05	1.213.258
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total		2025M04	1.136.825
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total		2025M03	1.061.743
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total		2025M02	938.401
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total		2025M01	949.891
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en España	2025M07	527.894
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en España	2025M06	565.728
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en España	2025M05	545.311
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en España	2025M04	518.771
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en España	2025M03	514.827
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en España	2025M02	499.366
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en España	2025M01	503.084
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en el Extranjero	2025M07	651.345
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en el Extranjero	2025M06	636.700
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en el Extranjero	2025M05	667.947
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en el Extranjero	2025M04	618.054
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en el Extranjero	2025M03	546.916
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en el Extranjero	2025M02	439.035
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total	Residentes en el Extranjero	2025M01	446.807
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total		2025M07	2.330.843
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total		2025M06	2.412.755
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total		2025M05	2.560.824
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total		2025M04	2.461.609
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total		2025M03	2.214.326
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total		2025M02	1.904.664
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total		2025M01	1.960.674
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en España	2025M07	903.133
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en España	2025M06	976.673
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en España	2025M05	976.824
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en España	2025M04	959.652
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en España	2025M03	933.188
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en España	2025M02	889.050
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en España	2025M01	909.763
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	1.427.710
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	1.436.083
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	1.584.001
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	1.501.956
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	1.281.138
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	1.015.614
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	1.050.912
Total Nacional	14 Murcia, Región de		Viajero	Total		2025M07	162.708
Total Nacional	14 Murcia, Región de		Viajero	Total		2025M06	148.579
Total Nacional	14 Murcia, Región de		Viajero	Total		2025M05	140.207
Total Nacional	14 Murcia, Región de		Viajero	Total		2025M04	131.322
Total Nacional	14 Murcia, Región de		Viajero	Total		2025M03	110.868
Total Nacional	14 Murcia, Región de		Viajero	Total		2025M02	100.792
Total Nacional	14 Murcia, Región de		Viajero	Total		2025M01	83.866
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en España	2025M07	115.570
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en España	2025M06	117.531
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en España	2025M05	111.547
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en España	2025M04	101.982
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en España	2025M03	86.268
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en España	2025M02	80.075
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en España	2025M01	64.451
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en el Extranjero	2025M07	47.139
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en el Extranjero	2025M06	31.048
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en el Extranjero	2025M05	28.660
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en el Extranjero	2025M04	29.339
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en el Extranjero	2025M03	24.601
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en el Extranjero	2025M02	20.717
Total Nacional	14 Murcia, Región de		Viajero	Total	Residentes en el Extranjero	2025M01	19.415
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total		2025M07	394.572
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total		2025M06	351.505
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total		2025M05	344.241
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total		2025M04	323.485
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total		2025M03	267.662
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total		2025M02	199.636
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total		2025M01	157.326
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en España	2025M07	284.106
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en España	2025M06	258.718
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en España	2025M05	268.820
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en España	2025M04	248.011
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en España	2025M03	203.829
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en España	2025M02	148.711
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en España	2025M01	107.613
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	110.467
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	92.787
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	75.421
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	75.474
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	63.833
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	50.925
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	49.713
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total		2025M07	162.708
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total		2025M06	148.579
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total		2025M05	140.207
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total		2025M04	131.322
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total		2025M03	110.868
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total		2025M02	100.792
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total		2025M01	83.866
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en España	2025M07	115.570
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en España	2025M06	117.531
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en España	2025M05	111.547
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en España	2025M04	101.982
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en España	2025M03	86.268
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en España	2025M02	80.075
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en España	2025M01	64.451
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en el Extranjero	2025M07	47.139
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en el Extranjero	2025M06	31.048
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en el Extranjero	2025M05	28.660
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en el Extranjero	2025M04	29.339
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en el Extranjero	2025M03	24.601
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en el Extranjero	2025M02	20.717
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total	Residentes en el Extranjero	2025M01	19.415
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total		2025M07	394.572
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total		2025M06	351.505
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total		2025M05	344.241
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total		2025M04	323.485
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total		2025M03	267.662
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total		2025M02	199.636
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total		2025M01	157.326
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en España	2025M07	284.106
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en España	2025M06	258.718
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en España	2025M05	268.820
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en España	2025M04	248.011
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en España	2025M03	203.829
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en España	2025M02	148.711
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en España	2025M01	107.613
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	110.467
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	92.787
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	75.421
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	75.474
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	63.833
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	50.925
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	49.713
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total		2025M07	106.982
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total		2025M06	106.583
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total		2025M05	119.088
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total		2025M04	101.696
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total		2025M03	78.176
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total		2025M02	55.332
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total		2025M01	48.807
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en España	2025M07	69.566
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en España	2025M06	73.632
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en España	2025M05	73.798
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en España	2025M04	70.366
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en España	2025M03	63.089
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en España	2025M02	43.959
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en España	2025M01	39.956
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en el Extranjero	2025M07	37.415
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en el Extranjero	2025M06	32.951
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en el Extranjero	2025M05	45.290
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en el Extranjero	2025M04	31.330
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en el Extranjero	2025M03	15.087
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en el Extranjero	2025M02	11.372
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total	Residentes en el Extranjero	2025M01	8.851
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total		2025M07	217.912
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total		2025M06	202.739
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total		2025M05	223.386
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total		2025M04	194.310
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total		2025M03	155.684
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total		2025M02	101.172
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total		2025M01	85.934
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en España	2025M07	151.855
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en España	2025M06	148.154
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en España	2025M05	148.921
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en España	2025M04	145.909
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en España	2025M03	124.243
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en España	2025M02	75.777
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en España	2025M01	66.626
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	66.056
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	54.584
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	74.465
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	48.401
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	31.442
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	25.395
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	19.308
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total		2025M07	106.982
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total		2025M06	106.583
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total		2025M05	119.088
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total		2025M04	101.696
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total		2025M03	78.176
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total		2025M02	55.332
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total		2025M01	48.807
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en España	2025M07	69.566
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en España	2025M06	73.632
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en España	2025M05	73.798
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en España	2025M04	70.366
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en España	2025M03	63.089
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en España	2025M02	43.959
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en España	2025M01	39.956
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en el Extranjero	2025M07	37.415
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en el Extranjero	2025M06	32.951
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en el Extranjero	2025M05	45.290
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en el Extranjero	2025M04	31.330
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en el Extranjero	2025M03	15.087
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en el Extranjero	2025M02	11.372
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total	Residentes en el Extranjero	2025M01	8.851
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total		2025M07	217.912
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total		2025M06	202.739
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total		2025M05	223.386
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total		2025M04	194.310
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total		2025M03	155.684
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total		2025M02	101.172
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total		2025M01	85.934
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en España	2025M07	151.855
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en España	2025M06	148.154
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en España	2025M05	148.921
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en España	2025M04	145.909
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en España	2025M03	124.243
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en España	2025M02	75.777
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en España	2025M01	66.626
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	66.056
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	54.584
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	74.465
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	48.401
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	31.442
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	25.395
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	19.308
Total Nacional	16 País Vasco		Viajero	Total		2025M07	398.017
Total Nacional	16 País Vasco		Viajero	Total		2025M06	364.678
Total Nacional	16 País Vasco		Viajero	Total		2025M05	375.042
Total Nacional	16 País Vasco		Viajero	Total		2025M04	341.239
Total Nacional	16 País Vasco		Viajero	Total		2025M03	276.292
Total Nacional	16 País Vasco		Viajero	Total		2025M02	230.365
Total Nacional	16 País Vasco		Viajero	Total		2025M01	206.997
Total Nacional	16 País Vasco		Viajero	Total	Residentes en España	2025M07	173.365
Total Nacional	16 País Vasco		Viajero	Total	Residentes en España	2025M06	177.370
Total Nacional	16 País Vasco		Viajero	Total	Residentes en España	2025M05	174.804
Total Nacional	16 País Vasco		Viajero	Total	Residentes en España	2025M04	171.954
Total Nacional	16 País Vasco		Viajero	Total	Residentes en España	2025M03	171.935
Total Nacional	16 País Vasco		Viajero	Total	Residentes en España	2025M02	151.752
Total Nacional	16 País Vasco		Viajero	Total	Residentes en España	2025M01	134.352
Total Nacional	16 País Vasco		Viajero	Total	Residentes en el Extranjero	2025M07	224.652
Total Nacional	16 País Vasco		Viajero	Total	Residentes en el Extranjero	2025M06	187.308
Total Nacional	16 País Vasco		Viajero	Total	Residentes en el Extranjero	2025M05	200.238
Total Nacional	16 País Vasco		Viajero	Total	Residentes en el Extranjero	2025M04	169.285
Total Nacional	16 País Vasco		Viajero	Total	Residentes en el Extranjero	2025M03	104.357
Total Nacional	16 País Vasco		Viajero	Total	Residentes en el Extranjero	2025M02	78.613
Total Nacional	16 País Vasco		Viajero	Total	Residentes en el Extranjero	2025M01	72.646
Total Nacional	16 País Vasco		Pernoctaciones	Total		2025M07	839.893
Total Nacional	16 País Vasco		Pernoctaciones	Total		2025M06	738.990
Total Nacional	16 País Vasco		Pernoctaciones	Total		2025M05	739.678
Total Nacional	16 País Vasco		Pernoctaciones	Total		2025M04	661.814
Total Nacional	16 País Vasco		Pernoctaciones	Total		2025M03	534.115
Total Nacional	16 País Vasco		Pernoctaciones	Total		2025M02	424.338
Total Nacional	16 País Vasco		Pernoctaciones	Total		2025M01	389.516
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en España	2025M07	369.935
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en España	2025M06	344.327
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en España	2025M05	340.458
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en España	2025M04	330.873
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en España	2025M03	326.320
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en España	2025M02	272.607
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en España	2025M01	248.854
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	469.959
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	394.663
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	399.220
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	330.941
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	207.795
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	151.731
Total Nacional	16 País Vasco		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	140.663
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total		2025M07	50.919
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total		2025M06	46.479
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total		2025M05	47.964
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total		2025M04	43.266
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total		2025M03	37.161
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total		2025M02	28.309
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total		2025M01	28.451
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en España	2025M07	28.852
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en España	2025M06	31.639
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en España	2025M05	31.836
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en España	2025M04	30.896
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en España	2025M03	28.587
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en España	2025M02	22.635
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en España	2025M01	22.203
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2025M07	22.066
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2025M06	14.839
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2025M05	16.128
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2025M04	12.370
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2025M03	8.574
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2025M02	5.674
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total	Residentes en el Extranjero	2025M01	6.247
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M07	111.447
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M06	99.114
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M05	100.448
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M04	90.943
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M03	81.202
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M02	59.687
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total		2025M01	63.725
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total	Residentes en España	2025M07	65.755
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total	Residentes en España	2025M06	66.104
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total	Residentes en España	2025M05	65.494
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total	Residentes en España	2025M04	65.180
